Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
G-1;France;Bagnols-sur-Cèze;GRAPHITE PILE;46000;UNDER DECOMMISSIONING;1956-01-07T00:00:00
OCF Ozenji Critical Facility;Japan;Kawasaki;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1962-10-01T00:00:00
MCF;Japan;Saitama;CRIT ASSEMBLY;0.2;DECOMMISSIONED;1969-08-01T00:00:00
JRR-1;Japan;Tokai-mura;HOMOG (L);60;DECOMMISSIONED;1957-08-27T00:00:00
SCA;Japan;Tokai-mura;CRIT ASSEMBLY;0.2;DECOMMISSIONED;1966-08-01T00:00:00
AHCF;Japan;Tokai-mura;CRIT ASSEMBLY;0.01;DECOMMISSIONED;1961-01-01T00:00:00
AGN-201K;Korea, Republic of;Yongin;HOMOG (S);0.01;OPERATIONAL;1982-12-04T00:00:00
ETRR-1;Egypt;Cairo;TANK WWR;2000;EXTENDED SHUTDOWN;1961-02-08T00:00:00
YALINA-Thermal;Belarus;Minsk;SUBCRIT;0;OPERATIONAL;2000-01-01T00:00:00
LPRR;Saudi Arabia;Riyadh;POOL;30;UNDER CONSTRUCTION;NA
RBT-10/1;Russian Federation;Dimitrovgrad;POOL;10000;DECOMMISSIONED;1983-12-01T00:00:00
UG Rig;Russian Federation;Elektrostal;CRIT GRAPHITE;0.03;DECOMMISSIONED;1967-04-20T00:00:00
VVER;Russian Federation;Moscow;SUBCRIT;0;EXTENDED SHUTDOWN;1974-04-06T00:00:00
UV-1;Russian Federation;Moscow;SUBCRIT;0;EXTENDED SHUTDOWN;1983-10-25T00:00:00
UV-2;Russian Federation;Moscow;SUBCRIT;0;EXTENDED SHUTDOWN;1972-11-04T00:00:00
RB;Serbia;Belgrade;HEAVY WATER;0;TEMPORARY SHUTDOWN;1958-04-29T00:00:00
RP-10;Peru;Lima;POOL;10000;OPERATIONAL;1988-11-30T00:00:00
ETRR-2;Egypt;Cairo;POOL;22000;OPERATIONAL;1997-11-27T00:00:00
IPR-R1;Brazil;Belo Horizonte;TRIGA MARK I;100;OPERATIONAL;1960-11-06T00:00:00
Rachel;France;Dijon;CRIT FAST;0.1;DECOMMISSIONED;1961-04-01T00:00:00
Rubeole;France;Gif-sur-Yvette;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1959-07-03T00:00:00
Aksamit;Russian Federation;Moscow;CRIT ASSEMBLY;0;OPERATIONAL;2002-02-25T00:00:00
RA;Serbia;Vinca;HEAVY WATER;6500;DECOMMISSIONED;1959-12-28T00:00:00
Delphi;Netherlands, Kingdom of the;Delft;SUBCRIT;0;OPERATIONAL;NA
RMB;Brazil;Iperó;POOL;30000;PLANNED;NA
KJRR;Korea, Republic of;Busan;POOL;15000;PLANNED;NA
Multipurpose Research Reactor;Viet Nam;Da Lat;POOL, IRT;15000;PLANNED;NA
JSA - Jordan Subcritical Assembly;Jordan;Amman;SUBCRIT;0;OPERATIONAL;2013-06-07T00:00:00
TFHR Thorium Pebble Bed;China;Shanghai;EXPERIMENTAL;2000;PLANNED;NA
Critical Experiment Tank;United States of America;Idaho Falls, ID;AIR COOLED;5;DECOMMISSIONED;1958-01-01T00:00:00
WWR-K CF;Kazakhstan;Almaty;CRIT ASSEMBLY;0.1;OPERATIONAL;1972-12-01T00:00:00
IRR-1;Israel;Yavne;POOL;5000;OPERATIONAL;1960-06-16T00:00:00
Multipurpose RR;Ukraine;Kiev;POOL;20000;PLANNED;NA
RP-0;Peru;Lima;CRIT ASSEMBLY;0.001;OPERATIONAL;1978-07-20T00:00:00
IRT-DPRK;Dem. P.R. of Korea;Nyongbyon;POOL, IRT;8000;OPERATIONAL;1965-08-15T00:00:00
RA-6;Argentina;San Carlos de Bariloche;POOL;500;OPERATIONAL;1982-09-23T00:00:00
RA-0;Argentina;Córdoba;TANK;0.01;OPERATIONAL;1965-01-01T00:00:00
RA-3;Argentina;Ezeiza;POOL;10000;OPERATIONAL;1967-05-17T00:00:00
Giacint;Belarus;Minsk;CRIT ASSEMBLY;0;OPERATIONAL;2009-01-01T00:00:00
R-1;Russian Federation;St. Petersburg;SUBCRIT;0;PERMANENT SHUTDOWN;1991-08-19T00:00:00
SO-2M;Russian Federation;Moscow;SUBCRIT;0;PERMANENT SHUTDOWN;1975-01-01T00:00:00
7KVD;Russian Federation;Podolsk;SUBCRIT;0;PERMANENT SHUTDOWN;1979-12-07T00:00:00
ENTC GSCR;Iran, Islamic Republic of;Isfahan;SUBCRIT;0;DECOMMISSIONED;1992-01-01T00:00:00
TAMMUZ-2;Iraq;Baghdad;POOL;500;PERMANENT SHUTDOWN;1987-03-01T00:00:00
IRT-5000;Iraq;Baghdad;POOL, IRT;5000;PERMANENT SHUTDOWN;1967-01-01T00:00:00
Pelinduna-0;South Africa;Pretoria;CRIT FAST;0;DECOMMISSIONED;1967-01-01T00:00:00
IRR-2;Israel;Yavne;HEAVY WATER;26000;OPERATIONAL;1963-12-01T00:00:00
IPEN/MB-01;Brazil;Sao Paulo;POOL;0.1;OPERATIONAL;1988-11-09T00:00:00
YALINA-Booster;Belarus;Minsk;SUBCRIT;0;OPERATIONAL;2005-05-30T00:00:00
SNI, IR-100;Ukraine;Sevastopol;POOL, IRT;200;OPERATIONAL;1967-04-18T00:00:00
SPh IR-100;Ukraine;Sevastopol;CRIT ASSEMBLY;0.002;OPERATIONAL;1974-07-17T00:00:00
ZR-6M;Hungary;NA;CRIT ASSEMBLY;0;DECOMMISSIONED;1972-11-28T00:00:00
HECTOR;United Kingdom;NA;GRAPHITE CO2;0.1;DECOMMISSIONED;1963-03-10T00:00:00
