Nombre Reactor;Pais;Ciudad;Tipo;Potencia Térmica (KW);Estado;Fecha Primera Reacción
R-2;Sweden;Nyköping;TANK;50000;UNDER DECOMMISSIONING;1960-05-04T00:00:00
Argus-FTI;Tajikistan;Dushanbe;HOMOG (L);50;UNDER CONSTRUCTION;NA
HELEN;Romania;Bucharest;SUBCRIT;0;DECOMMISSIONED;1969-01-01T00:00:00
VVR-S Bucharest;Romania;Bucharest;TANK WWR;2000;UNDER DECOMMISSIONING;1957-07-01T00:00:00
RP-01;Romania;Bucharest;TANK;0;DECOMMISSIONED;1976-02-01T00:00:00
HELENA;Poland;Otwock;SUBCRIT;0.001;DECOMMISSIONED;1963-09-02T00:00:00
AGATA;Poland;Otwock;POOL;0.1;DECOMMISSIONED;1973-05-05T00:00:00
PANNA;Poland;Otwock;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1963-01-01T00:00:00
MARYLA;Poland;Otwock;POOL;100;DECOMMISSIONED;1963-12-29T00:00:00
EWA;Poland;Otwock;TANK WWR;10000;UNDER DECOMMISSIONING;1958-06-14T00:00:00
NORA;Norway;Kjeller;CRIT ASSEMBLY;0.05;DECOMMISSIONED;1961-01-01T00:00:00
JEEP I;Norway;Kjeller;HEAVY WATER;450;DECOMMISSIONED;1951-06-01T00:00:00
PALLAS;Netherlands, Kingdom of the;Petten;NA;0;PLANNED;NA
LFR;Netherlands, Kingdom of the;Schagen;ARGONAUT;30;UNDER DECOMMISSIONING;1960-09-28T00:00:00
KRITO;Netherlands, Kingdom of the;Petten;CRIT ASSEMBLY;0.1;DECOMMISSIONED;1963-03-29T00:00:00
BARN;Netherlands, Kingdom of the;Wageningen;POOL;100;DECOMMISSIONED;1963-04-01T00:00:00
ATHENE;Netherlands, Kingdom of the;Eindhoven;ARGONAUT;10;DECOMMISSIONED;1969-02-03T00:00:00
KSTR;Netherlands, Kingdom of the;Arnhem;AQUEOUS BREEDER;1000;DECOMMISSIONED;1974-05-22T00:00:00
TRIGA Puspati (RTP);Malaysia;Kajang;TRIGA MARK II;1000;OPERATIONAL;1982-06-28T00:00:00
MA-R1;Morocco;Rabat;TRIGA MARK II;2000;OPERATIONAL;2007-05-02T00:00:00
